,Date,Open,High,Low,Close,Volume
0,2014-04-10,12937.4,13055.6,12881.2,12949.4,0
1,2014-04-11,12822.2,12934.9,12778.0,12840.2,0
2,2014-04-15,12830.5,12831.6,12537.7,12579.9,0
3,2014-04-16,12557.4,12727.0,12514.8,12563.2,0
4,2014-04-17,12564.5,12819.1,12514.8,12787.2,0
5,2014-04-21,12845.3,13002.8,12838.8,12958.5,0
6,2014-04-22,12989.5,13040.2,12913.9,12987.1,0
7,2014-04-23,12961.3,13176.0,12957.9,13122.1,0
8,2014-04-25,13134.5,13268.6,12968.8,13034.5,0
9,2014-04-28,13039.0,13116.0,12927.8,13081.5,0
10,2014-04-29,13107.5,13124.3,12897.3,12910.5,0
11,2014-04-30,12946.1,13100.8,12738.6,12855.8,0
12,2014-05-02,12920.3,12995.6,12818.8,12842.0,0
13,2014-05-05,12841.4,12981.6,12773.0,12880.7,0
14,2014-05-06,12961.5,13012.5,12917.2,12966.0,0
15,2014-05-07,12944.9,13017.0,12877.8,12938.2,0
16,2014-05-08,12982.8,13095.5,12952.5,13037.4,0
17,2014-05-09,13023.4,13814.2,13017.9,13750.5,0
18,2014-05-12,13801.0,14152.5,13801.0,14085.0,0
19,2014-05-13,14269.2,14367.8,14105.7,14165.5,0
20,2014-05-14,14124.5,14320.8,14063.6,14207.1,0
21,2014-05-15,14186.1,14301.3,14159.1,14236.5,0
22,2014-05-16,14675.6,15742.0,14468.1,14853.0,0
23,2014-05-19,15032.0,15305.7,15032.0,15222.2,0
24,2014-05-20,15351.7,15362.5,15087.7,15111.2,0
25,2014-05-21,15126.6,15126.6,14857.5,14952.1,0
26,2014-05-22,15009.9,15204.5,14938.2,15055.5,0
27,2014-05-23,15091.7,15321.2,14972.6,15285.5,0
28,2014-05-26,15432.0,15568.0,14969.2,15175.9,0
29,2014-05-27,15141.5,15158.4,14935.0,15084.0,0
30,2014-05-28,15075.6,15198.3,15032.5,15173.3,0
31,2014-05-29,15169.2,15254.5,15007.5,15030.3,0
32,2014-05-30,15093.1,15108.8,14709.3,14793.4,0
33,2014-06-02,14786.5,15321.8,14770.0,15287.2,0
34,2014-06-03,15335.8,15414.0,15148.5,15257.5,0
35,2014-06-04,15221.3,15396.9,15171.2,15333.4,0
36,2014-06-05,15250.6,15337.2,15152.4,15282.2,0
37,2014-06-06,15405.8,15576.0,15320.8,15543.2,0
38,2014-06-09,15625.4,15725.8,15522.8,15567.4,0
39,2014-06-10,15585.4,15585.4,15337.8,15427.8,0
